"Distance from source (actual, km)",Pnabs,label
1592.715391,0.000000188,?=2
1478.491104,0.000000335,?=2
1364.57079,0.000000578,?=2
1251.231038,0.000000946,?=2
1138.834702,0.0000011,?=2
1027.876593,0.000000322,?=2
919.0583651,0.000000964,?=2
813.4142344,0.000000921,?=2
712.5249157,0.00000307,?=2
618.8768439,0.0000169,?=2
536.4160422,0.0000534,?=2
471.1670018,0.000133,?=2
431.0915875,0.000267,?=2
423.4234269,0.000407,?=2
451.6027677,0.000448,?=2
1592.715391,0.000000175,?=5
1478.491104,0.00000032,?=5
1364.57079,0.00000061,?=5
1251.231038,0.00000095,?=5
1138.834702,0.0000011,?=5
1027.876593,0.00000035,?=5
919.0583651,0.00000091,?=5
813.4142344,0.0000006,?=5
712.5249157,0.000003,?=5
618.8768439,0.0000169,?=5
536.4160422,0.0000543,?=5
471.1670018,0.000137,?=5
431.0915875,0.000284,?=5
423.4234269,0.000435,?=5
451.6027677,0.000488,?=5
1592.715391,0.000000157,?=9
1478.491104,0.000000291,?=9
1364.57079,0.000000525,?=9
1251.231038,0.000000902,?=9
1138.834702,0.0000011,?=9
1027.876593,0.000000379,?=9
919.0583651,0.000000843,?=9
813.4142344,0.000000914,?=9
712.5249157,0.00000778,?=9
618.8768439,0.0000167,?=9
536.4160422,0.0000547,?=9
471.1670018,0.000141,?=9
431.0915875,0.000303,?=9
423.4234269,0.000465,?=9
451.6027677,0.000535,?=9
