"Distance from source (actual, km)",tSest-tP,tSvis-tP
1592.715391,374.6684053,305.49
1478.491104,347.7984249,305.17
1364.57079,320.9999506,304.27
1251.231038,294.338047,278.45
1138.834702,267.8980715,243.93
1027.876593,241.7964227,229.52
919.0583651,216.1981569,196.06
813.4142344,191.3465618,167.68
712.5249157,167.6134829,149.21
618.8768439,145.5838259,109.97
536.4160422,126.1858486,124.31
471.1670018,110.8367447,94.66
431.0915875,101.4094537,95.22
423.4234269,99.605605,105.44
451.6027677,106.2344784,94.59
